IM2LATEX HME,IM2LATEX HME,IM2LATEX HME,IM2LATEX HME,IM2LATEX PME,IM2LATEX PME,IM2LATEX PME,IM2LATEX PME
360,100,3.6,10667.png,126,102,1.2352941176470589,10667.png
120,50,2.4,10738.png,203,58,3.5,10738.png
280,50,5.6,10787.png,446,92,4.8478260869565215,10787.png
280,50,5.6,10826.png,446,88,5.068181818181818,10826.png
360,60,6.0,10898.png,372,101,3.6831683168316833,10898.png
360,60,6.0,10937.png,431,90,4.788888888888889,10937.png
360,60,6.0,1098.png,362,99,3.6565656565656566,1098.png
160,40,4.0,11051.png,273,54,5.055555555555555,11051.png
360,60,6.0,11060.png,451,98,4.6020408163265305,11060.png
280,40,7.0,11195.png,470,58,8.10344827586207,11195.png
240,40,6.0,1123.png,372,57,6.526315789473684,1123.png
200,40,5.0,11284.png,346,61,5.672131147540983,11284.png
240,40,6.0,11381.png,359,57,6.298245614035087,11381.png
360,40,9.0,11398.png,606,57,10.631578947368421,11398.png
120,50,2.4,11520.png,196,89,2.202247191011236,11520.png
280,40,7.0,11523.png,454,60,7.566666666666666,11523.png
360,60,6.0,11567.png,518,95,5.4526315789473685,11567.png
360,60,6.0,11573.png,259,100,2.59,11573.png
500,100,5.0,11665.png,737,102,7.2254901960784315,11665.png
360,60,6.0,11686.png,356,88,4.045454545454546,11686.png
160,40,4.0,11738.png,239,57,4.192982456140351,11738.png
200,40,5.0,11773.png,281,57,4.9298245614035086,11773.png
400,160,2.5,11817.png,631,88,7.170454545454546,11817.png
500,100,5.0,11916.png,742,93,7.978494623655914,11916.png
240,40,6.0,11927.png,401,56,7.160714285714286,11927.png
600,100,6.0,11970.png,915,56,16.339285714285715,11970.png
500,100,5.0,12027.png,701,106,6.613207547169812,12027.png
280,40,7.0,12161.png,478,59,8.101694915254237,12161.png
360,100,3.6,12164.png,300,108,2.7777777777777777,12164.png
160,40,4.0,12228.png,229,56,4.089285714285714,12228.png
360,60,6.0,12269.png,501,101,4.96039603960396,12269.png
360,100,3.6,12281.png,269,104,2.5865384615384617,12281.png
500,100,5.0,12316.png,801,57,14.052631578947368,12316.png
360,60,6.0,12343.png,270,89,3.033707865168539,12343.png
360,60,6.0,12365.png,171,94,1.8191489361702127,12365.png
360,60,6.0,12371.png,376,95,3.957894736842105,12371.png
360,40,9.0,12468.png,595,56,10.625,12468.png
360,40,9.0,12481.png,618,53,11.660377358490566,12481.png
280,40,7.0,12510.png,460,61,7.540983606557377,12510.png
360,100,3.6,12515.png,350,103,3.3980582524271843,12515.png
360,100,3.6,12525.png,491,104,4.721153846153846,12525.png
240,40,6.0,12558.png,387,53,7.30188679245283,12558.png
240,40,6.0,1256.png,407,60,6.783333333333333,1256.png
200,50,4.0,12564.png,326,78,4.17948717948718,12564.png
360,60,6.0,12648.png,463,99,4.6767676767676765,12648.png
360,60,6.0,12817.png,415,94,4.414893617021277,12817.png
240,50,4.8,12841.png,398,90,4.4222222222222225,12841.png
200,40,5.0,12863.png,300,53,5.660377358490566,12863.png
500,100,5.0,12922.png,769,53,14.50943396226415,12922.png
360,60,6.0,13011.png,209,92,2.2717391304347827,13011.png
600,100,6.0,13015.png,907,63,14.396825396825397,13015.png
360,60,6.0,1307.png,367,103,3.563106796116505,1307.png
240,40,6.0,13087.png,369,56,6.589285714285714,13087.png
400,50,8.0,1311.png,636,88,7.2272727272727275,1311.png
320,40,8.0,13214.png,496,54,9.185185185185185,13214.png
360,60,6.0,13216.png,288,94,3.0638297872340425,13216.png
360,60,6.0,13230.png,266,102,2.607843137254902,13230.png
360,60,6.0,13350.png,214,98,2.183673469387755,13350.png
240,50,4.8,13365.png,419,87,4.816091954022989,13365.png
500,100,5.0,13367.png,870,74,11.756756756756756,13367.png
600,100,6.0,13377.png,946,95,9.957894736842105,13377.png
360,60,6.0,1340.png,388,101,3.8415841584158414,1340.png
240,50,4.8,13417.png,378,80,4.725,13417.png
360,60,6.0,13450.png,476,100,4.76,13450.png
500,100,5.0,13464.png,767,87,8.816091954022989,13464.png
360,60,6.0,13488.png,297,103,2.883495145631068,13488.png
360,60,6.0,13598.png,435,88,4.943181818181818,13598.png
500,100,5.0,13626.png,705,104,6.778846153846154,13626.png
360,60,6.0,13668.png,522,96,5.4375,13668.png
360,60,6.0,13873.png,592,108,5.481481481481482,13873.png
240,40,6.0,13898.png,408,56,7.285714285714286,13898.png
600,100,6.0,13922.png,993,95,10.452631578947368,13922.png
280,40,7.0,13944.png,468,58,8.068965517241379,13944.png
500,100,5.0,14026.png,726,88,8.25,14026.png
360,60,6.0,14132.png,311,98,3.173469387755102,14132.png
360,40,9.0,14190.png,571,56,10.196428571428571,14190.png
120,50,2.4,14254.png,66,41,1.6097560975609757,14254.png
240,50,4.8,14298.png,380,87,4.367816091954023,14298.png
320,40,8.0,14301.png,529,56,9.446428571428571,14301.png
120,50,2.4,14416.png,161,55,2.9272727272727272,14416.png
160,40,4.0,14442.png,244,44,5.545454545454546,14442.png
500,100,5.0,14611.png,781,87,8.977011494252874,14611.png
400,50,8.0,14650.png,662,53,12.49056603773585,14650.png
280,50,5.6,14810.png,477,87,5.482758620689655,14810.png
360,60,6.0,14865.png,510,101,5.0495049504950495,14865.png
280,40,7.0,14943.png,433,53,8.169811320754716,14943.png
360,60,6.0,15051.png,420,93,4.516129032258065,15051.png
320,40,8.0,15054.png,554,59,9.389830508474576,15054.png
240,40,6.0,15058.png,358,54,6.62962962962963,15058.png
360,60,6.0,15075.png,517,99,5.222222222222222,15075.png
280,50,5.6,15098.png,444,87,5.103448275862069,15098.png
360,100,3.6,15185.png,556,116,4.793103448275862,15185.png
360,60,6.0,15206.png,376,88,4.2727272727272725,15206.png
360,60,6.0,15259.png,324,93,3.4838709677419355,15259.png
360,100,3.6,15260.png,268,99,2.707070707070707,15260.png
800,100,8.0,15269.png,1094,101,10.831683168316832,15269.png
600,100,6.0,15302.png,981,58,16.913793103448278,15302.png
280,40,7.0,15307.png,457,59,7.745762711864407,15307.png
280,40,7.0,15315.png,467,62,7.532258064516129,15315.png
240,40,6.0,15349.png,411,62,6.629032258064516,15349.png
500,100,5.0,15360.png,841,84,10.011904761904763,15360.png
360,60,6.0,15424.png,250,94,2.6595744680851063,15424.png
160,40,4.0,15491.png,211,54,3.9074074074074074,15491.png
320,40,8.0,15598.png,501,52,9.634615384615385,15598.png
360,60,6.0,15664.png,565,84,6.726190476190476,15664.png
500,100,5.0,15707.png,705,57,12.368421052631579,15707.png
360,60,6.0,15711.png,322,104,3.0961538461538463,15711.png
360,100,3.6,15816.png,503,119,4.226890756302521,15816.png
240,50,4.8,15879.png,359,82,4.378048780487805,15879.png
120,50,2.4,15893.png,50,42,1.1904761904761905,15893.png
240,50,4.8,15937.png,414,87,4.758620689655173,15937.png
400,50,8.0,16065.png,652,53,12.30188679245283,16065.png
280,40,7.0,16066.png,461,58,7.948275862068965,16066.png
400,50,8.0,16075.png,679,60,11.316666666666666,16075.png
360,60,6.0,16093.png,215,96,2.2395833333333335,16093.png
360,60,6.0,16213.png,463,101,4.584158415841584,16213.png
360,60,6.0,16263.png,569,101,5.633663366336633,16263.png
360,40,9.0,16296.png,565,56,10.089285714285714,16296.png
320,40,8.0,1635.png,530,56,9.464285714285714,1635.png
400,50,8.0,16384.png,651,55,11.836363636363636,16384.png
240,40,6.0,16403.png,376,57,6.5964912280701755,16403.png
240,50,4.8,16528.png,364,88,4.136363636363637,16528.png
200,40,5.0,16544.png,344,49,7.020408163265306,16544.png
200,40,5.0,16616.png,293,58,5.051724137931035,16616.png
360,60,6.0,16776.png,250,94,2.6595744680851063,16776.png
360,60,6.0,16784.png,521,104,5.009615384615385,16784.png
400,50,8.0,16787.png,638,63,10.126984126984127,16787.png
200,50,4.0,16820.png,256,89,2.8764044943820224,16820.png
240,40,6.0,16842.png,364,53,6.867924528301887,16842.png
500,100,5.0,16934.png,851,53,16.056603773584907,16934.png
200,40,5.0,16938.png,303,61,4.967213114754099,16938.png
240,40,6.0,1694.png,399,57,7.0,1694.png
360,60,6.0,16968.png,254,96,2.6458333333333335,16968.png
360,60,6.0,17064.png,486,101,4.811881188118812,17064.png
160,40,4.0,17089.png,246,54,4.555555555555555,17089.png
120,50,2.4,17367.png,179,56,3.1964285714285716,17367.png
360,60,6.0,17439.png,160,93,1.7204301075268817,17439.png
120,50,2.4,17476.png,185,53,3.490566037735849,17476.png
360,50,7.2,17577.png,625,88,7.1022727272727275,17577.png
360,60,6.0,17601.png,391,93,4.204301075268817,17601.png
360,60,6.0,17652.png,456,98,4.653061224489796,17652.png
360,60,6.0,17823.png,300,93,3.225806451612903,17823.png
320,40,8.0,17888.png,512,53,9.660377358490566,17888.png
360,100,3.6,17891.png,497,103,4.825242718446602,17891.png
120,50,2.4,17904.png,187,54,3.462962962962963,17904.png
120,50,2.4,17939.png,157,91,1.7252747252747254,17939.png
240,40,6.0,18009.png,359,53,6.773584905660377,18009.png
360,100,3.6,18065.png,290,105,2.761904761904762,18065.png
360,60,6.0,18091.png,300,93,3.225806451612903,18091.png
360,60,6.0,18132.png,552,94,5.872340425531915,18132.png
360,60,6.0,18142.png,215,102,2.107843137254902,18142.png
360,100,3.6,18241.png,264,119,2.2184873949579833,18241.png
360,60,6.0,18306.png,245,101,2.4257425742574257,18306.png
320,40,8.0,18307.png,561,53,10.584905660377359,18307.png
200,40,5.0,18557.png,348,57,6.105263157894737,18557.png
360,60,6.0,18575.png,350,93,3.763440860215054,18575.png
200,40,5.0,18579.png,337,67,5.029850746268656,18579.png
500,100,5.0,18585.png,806,54,14.925925925925926,18585.png
320,50,6.4,18588.png,547,88,6.215909090909091,18588.png
600,100,6.0,18594.png,843,92,9.16304347826087,18594.png
240,50,4.8,18612.png,358,88,4.068181818181818,18612.png
200,40,5.0,18636.png,317,62,5.112903225806452,18636.png
200,50,4.0,18651.png,220,88,2.5,18651.png
360,60,6.0,18668.png,480,98,4.8979591836734695,18668.png
200,40,5.0,18685.png,354,54,6.555555555555555,18685.png
200,40,5.0,18697.png,331,57,5.807017543859649,18697.png
500,100,5.0,18705.png,789,96,8.21875,18705.png
160,40,4.0,18748.png,279,49,5.6938775510204085,18748.png
360,60,6.0,18796.png,343,100,3.43,18796.png
360,100,3.6,18817.png,471,103,4.572815533980583,18817.png
240,40,6.0,1883.png,351,59,5.9491525423728815,1883.png
280,40,7.0,18866.png,483,53,9.11320754716981,18866.png
360,60,6.0,18889.png,613,83,7.385542168674699,18889.png
200,50,4.0,18893.png,321,78,4.115384615384615,18893.png
360,60,6.0,18932.png,494,95,5.2,18932.png
320,40,8.0,18942.png,517,64,8.078125,18942.png
360,60,6.0,19069.png,559,88,6.3522727272727275,19069.png
400,50,8.0,1910.png,689,54,12.75925925925926,1910.png
500,100,5.0,1918.png,743,102,7.284313725490196,1918.png
360,60,6.0,19214.png,353,99,3.5656565656565657,19214.png
240,40,6.0,19227.png,374,53,7.056603773584905,19227.png
280,40,7.0,19269.png,456,57,8.0,19269.png
500,100,5.0,19333.png,744,88,8.454545454545455,19333.png
500,100,5.0,19341.png,743,53,14.018867924528301,19341.png
500,100,5.0,19402.png,782,61,12.819672131147541,19402.png
280,40,7.0,19404.png,496,56,8.857142857142858,19404.png
360,60,6.0,19424.png,443,102,4.3431372549019605,19424.png
360,100,3.6,19466.png,299,123,2.430894308943089,19466.png
500,100,5.0,19478.png,791,56,14.125,19478.png
400,50,8.0,19527.png,688,63,10.920634920634921,19527.png
280,40,7.0,19536.png,496,53,9.358490566037736,19536.png
240,40,6.0,19539.png,415,53,7.830188679245283,19539.png
360,50,7.2,19561.png,598,88,6.795454545454546,19561.png
320,40,8.0,19569.png,540,57,9.473684210526315,19569.png
360,60,6.0,19657.png,309,101,3.0594059405940595,19657.png
600,100,6.0,19697.png,918,53,17.32075471698113,19697.png
400,50,8.0,1974.png,670,56,11.964285714285714,1974.png
600,100,6.0,19817.png,911,53,17.18867924528302,19817.png
360,60,6.0,19877.png,285,90,3.1666666666666665,19877.png
360,60,6.0,19907.png,244,101,2.4158415841584158,19907.png
360,60,6.0,19965.png,370,99,3.7373737373737375,19965.png
160,40,4.0,19978.png,269,59,4.559322033898305,19978.png
500,100,5.0,20125.png,801,88,9.102272727272727,20125.png
200,40,5.0,20131.png,336,53,6.339622641509434,20131.png
120,50,2.4,20155.png,50,43,1.1627906976744187,20155.png
240,40,6.0,20162.png,419,57,7.350877192982456,20162.png
360,60,6.0,2021.png,273,96,2.84375,2021.png
360,60,6.0,20216.png,628,101,6.217821782178218,20216.png
240,50,4.8,20262.png,369,66,5.590909090909091,20262.png
360,60,6.0,20270.png,233,94,2.478723404255319,20270.png
360,60,6.0,2029.png,355,96,3.6979166666666665,2029.png
360,100,3.6,20418.png,278,111,2.5045045045045047,20418.png
240,40,6.0,20427.png,387,57,6.7894736842105265,20427.png
500,100,5.0,2052.png,840,91,9.23076923076923,2052.png
240,40,6.0,20539.png,345,55,6.2727272727272725,20539.png
200,50,4.0,20548.png,241,85,2.835294117647059,20548.png
500,100,5.0,20566.png,728,53,13.735849056603774,20566.png
360,60,6.0,20685.png,591,108,5.472222222222222,20685.png
120,50,2.4,20742.png,186,89,2.0898876404494384,20742.png
400,50,8.0,20809.png,654,56,11.678571428571429,20809.png
320,40,8.0,20829.png,498,53,9.39622641509434,20829.png
120,50,2.4,2083.png,133,44,3.022727272727273,2083.png
280,40,7.0,20968.png,452,53,8.528301886792454,20968.png
360,50,7.2,20981.png,599,79,7.582278481012659,20981.png
360,60,6.0,20990.png,429,94,4.5638297872340425,20990.png
360,100,3.6,21039.png,253,103,2.4563106796116503,21039.png
120,50,2.4,21061.png,145,53,2.7358490566037736,21061.png
240,40,6.0,2114.png,360,57,6.315789473684211,2114.png
320,40,8.0,2116.png,523,56,9.339285714285714,2116.png
500,100,5.0,21160.png,766,50,15.32,21160.png
400,160,2.5,21167.png,626,108,5.796296296296297,21167.png
360,60,6.0,21230.png,454,96,4.729166666666667,21230.png
320,40,8.0,21392.png,517,53,9.754716981132075,21392.png
400,50,8.0,21430.png,676,56,12.071428571428571,21430.png
360,60,6.0,215.png,568,97,5.855670103092783,215.png
360,100,3.6,21517.png,607,105,5.780952380952381,21517.png
360,60,6.0,21619.png,131,100,1.31,21619.png
360,60,6.0,21638.png,147,100,1.47,21638.png
360,100,3.6,21720.png,515,108,4.768518518518518,21720.png
120,50,2.4,2174.png,185,50,3.7,2174.png
320,40,8.0,21755.png,555,56,9.910714285714286,21755.png
400,160,2.5,2178.png,686,96,7.145833333333333,2178.png
200,40,5.0,21849.png,344,70,4.914285714285715,21849.png
120,50,2.4,21889.png,199,53,3.7547169811320753,21889.png
500,100,5.0,2193.png,747,56,13.339285714285714,2193.png
360,100,3.6,21952.png,584,109,5.3577981651376145,21952.png
360,100,3.6,21976.png,413,109,3.7889908256880735,21976.png
160,40,4.0,22.png,216,57,3.789473684210526,22.png
360,60,6.0,22012.png,283,97,2.917525773195876,22012.png
360,60,6.0,22015.png,392,101,3.881188118811881,22015.png
400,50,8.0,2203.png,635,61,10.40983606557377,2203.png
360,40,9.0,22033.png,593,56,10.589285714285714,22033.png
360,50,7.2,22039.png,582,84,6.928571428571429,22039.png
800,100,8.0,22049.png,1094,66,16.575757575757574,22049.png
360,100,3.6,22058.png,300,108,2.7777777777777777,22058.png
360,60,6.0,22072.png,524,93,5.634408602150538,22072.png
500,100,5.0,22082.png,870,62,14.03225806451613,22082.png
360,100,3.6,22089.png,222,104,2.1346153846153846,22089.png
320,40,8.0,22090.png,519,54,9.61111111111111,22090.png
360,60,6.0,22131.png,465,90,5.166666666666667,22131.png
240,40,6.0,22132.png,387,57,6.7894736842105265,22132.png
360,100,3.6,22234.png,286,102,2.803921568627451,22234.png
160,40,4.0,2224.png,218,51,4.2745098039215685,2224.png
360,60,6.0,2233.png,367,100,3.67,2233.png
360,100,3.6,22389.png,311,122,2.5491803278688523,22389.png
360,60,6.0,22391.png,118,94,1.2553191489361701,22391.png
360,100,3.6,22447.png,340,99,3.4343434343434343,22447.png
360,60,6.0,22463.png,619,104,5.951923076923077,22463.png
360,60,6.0,22476.png,416,101,4.118811881188119,22476.png
360,60,6.0,22489.png,274,99,2.7676767676767677,22489.png
200,50,4.0,22505.png,252,88,2.8636363636363638,22505.png
320,40,8.0,22523.png,534,53,10.075471698113208,22523.png
200,40,5.0,22547.png,335,53,6.320754716981132,22547.png
200,40,5.0,22567.png,328,53,6.188679245283019,22567.png
160,40,4.0,22586.png,232,50,4.64,22586.png
240,40,6.0,22595.png,414,57,7.2631578947368425,22595.png
160,40,4.0,2261.png,248,56,4.428571428571429,2261.png
500,100,5.0,22722.png,735,98,7.5,22722.png
240,40,6.0,22770.png,355,54,6.574074074074074,22770.png
360,60,6.0,2285.png,344,93,3.6989247311827955,2285.png
600,100,6.0,22957.png,1012,93,10.881720430107526,22957.png
280,50,5.6,22958.png,479,87,5.505747126436781,22958.png
400,50,8.0,22966.png,653,70,9.32857142857143,22966.png
160,40,4.0,2297.png,242,56,4.321428571428571,2297.png
200,40,5.0,22986.png,288,53,5.433962264150943,22986.png
360,40,9.0,23050.png,601,53,11.339622641509434,23050.png
200,40,5.0,23080.png,336,57,5.894736842105263,23080.png
360,60,6.0,23198.png,338,101,3.3465346534653464,23198.png
400,160,2.5,23268.png,684,97,7.051546391752577,23268.png
320,50,6.4,2332.png,513,81,6.333333333333333,2332.png
600,100,6.0,23389.png,987,56,17.625,23389.png
360,50,7.2,23390.png,626,88,7.113636363636363,23390.png
360,60,6.0,23406.png,246,81,3.037037037037037,23406.png
360,60,6.0,23430.png,494,100,4.94,23430.png
160,40,4.0,23431.png,220,57,3.8596491228070176,23431.png
240,40,6.0,23436.png,366,56,6.535714285714286,23436.png
400,160,2.5,23452.png,656,94,6.9787234042553195,23452.png
280,40,7.0,23468.png,476,67,7.104477611940299,23468.png
360,60,6.0,23484.png,560,99,5.656565656565657,23484.png
400,160,2.5,23497.png,680,102,6.666666666666667,23497.png
320,50,6.4,23598.png,550,88,6.25,23598.png
240,40,6.0,23655.png,415,57,7.280701754385965,23655.png
360,60,6.0,23697.png,317,102,3.107843137254902,23697.png
500,100,5.0,23737.png,855,53,16.132075471698112,23737.png
360,60,6.0,23747.png,193,99,1.9494949494949494,23747.png
200,40,5.0,23774.png,333,57,5.842105263157895,23774.png
160,40,4.0,23803.png,262,56,4.678571428571429,23803.png
360,100,3.6,23810.png,268,110,2.4363636363636365,23810.png
360,40,9.0,23863.png,593,59,10.05084745762712,23863.png
360,60,6.0,23955.png,306,101,3.0297029702970297,23955.png
360,60,6.0,23970.png,242,96,2.5208333333333335,23970.png
500,100,5.0,240.png,834,107,7.794392523364486,240.png
240,40,6.0,2400.png,388,56,6.928571428571429,2400.png
360,60,6.0,24017.png,425,88,4.829545454545454,24017.png
500,100,5.0,24087.png,854,95,8.989473684210527,24087.png
360,60,6.0,24106.png,310,97,3.195876288659794,24106.png
600,100,6.0,24185.png,1048,53,19.77358490566038,24185.png
240,40,6.0,24186.png,404,54,7.481481481481482,24186.png
400,50,8.0,24302.png,624,80,7.8,24302.png
360,60,6.0,24325.png,516,96,5.375,24325.png
160,40,4.0,24337.png,228,54,4.222222222222222,24337.png
120,50,2.4,24344.png,111,87,1.2758620689655173,24344.png
160,40,4.0,24355.png,240,54,4.444444444444445,24355.png
360,60,6.0,24372.png,174,96,1.8125,24372.png
360,50,7.2,24392.png,587,87,6.747126436781609,24392.png
800,100,8.0,24455.png,1135,69,16.44927536231884,24455.png
160,40,4.0,24465.png,280,53,5.283018867924528,24465.png
240,40,6.0,24489.png,351,53,6.622641509433962,24489.png
360,60,6.0,24559.png,533,93,5.731182795698925,24559.png
200,50,4.0,2462.png,311,87,3.574712643678161,2462.png
500,100,5.0,24635.png,755,58,13.017241379310345,24635.png
360,60,6.0,24659.png,318,96,3.3125,24659.png
360,60,6.0,24831.png,562,98,5.73469387755102,24831.png
360,60,6.0,24858.png,270,96,2.8125,24858.png
240,40,6.0,24897.png,366,51,7.176470588235294,24897.png
360,60,6.0,24899.png,361,99,3.6464646464646466,24899.png
160,40,4.0,24956.png,258,58,4.448275862068965,24956.png
360,60,6.0,24969.png,210,95,2.210526315789474,24969.png
320,40,8.0,2505.png,542,53,10.226415094339623,2505.png
240,40,6.0,25068.png,367,63,5.825396825396825,25068.png
500,100,5.0,25077.png,785,57,13.771929824561404,25077.png
320,40,8.0,2517.png,500,57,8.771929824561404,2517.png
200,40,5.0,25249.png,333,57,5.842105263157895,25249.png
360,40,9.0,25276.png,563,56,10.053571428571429,25276.png
500,100,5.0,25315.png,784,101,7.762376237623762,25315.png
240,40,6.0,25351.png,399,63,6.333333333333333,25351.png
500,100,5.0,25364.png,845,99,8.535353535353535,25364.png
280,40,7.0,2542.png,432,54,8.0,2542.png
360,60,6.0,25445.png,235,99,2.3737373737373737,25445.png
360,60,6.0,25463.png,517,84,6.154761904761905,25463.png
160,40,4.0,25516.png,254,63,4.031746031746032,25516.png
320,40,8.0,25521.png,527,59,8.932203389830509,25521.png
320,40,8.0,25547.png,522,50,10.44,25547.png
280,40,7.0,25551.png,447,56,7.982142857142857,25551.png
360,40,9.0,25563.png,574,57,10.070175438596491,25563.png
360,60,6.0,25574.png,407,93,4.376344086021505,25574.png
360,60,6.0,25579.png,372,98,3.795918367346939,25579.png
500,100,5.0,25650.png,820,53,15.471698113207546,25650.png
600,100,6.0,25656.png,961,69,13.927536231884059,25656.png
360,100,3.6,25659.png,417,112,3.7232142857142856,25659.png
200,50,4.0,25671.png,242,88,2.75,25671.png
280,40,7.0,25710.png,451,58,7.775862068965517,25710.png
360,60,6.0,25721.png,291,93,3.129032258064516,25721.png
360,60,6.0,25755.png,463,87,5.32183908045977,25755.png
280,50,5.6,25855.png,442,87,5.080459770114943,25855.png
320,40,8.0,25857.png,550,56,9.821428571428571,25857.png
